Unnamed: 0,store,day_of_week,date,sales,promo,state_holiday,school_holiday,store_type,assortment,competition_distance,competition_open_since_month,competition_open_since_year,promo2,promo2_since_week,promo2_since_year,is_promo,year,month,week_of_year,year_week,competition_since,competition_time_month,promo_since,promo_time_week,day
840001,117,6,2013-01-05,2332,0,regular_day,0,a,basic,3450,9,2011,0,1,2013,0,2013,1,1,2013-00,2011-09-01,16,2012-12-31,0,5
840002,118,6,2013-01-05,6569,0,regular_day,0,d,extended,3580,9,2012,0,1,2013,0,2013,1,1,2013-00,2012-09-01,4,2012-12-31,0,5
840003,119,6,2013-01-05,4694,0,regular_day,0,a,extended,2100,2,2010,0,1,2013,0,2013,1,1,2013-00,2010-02-01,35,2012-12-31,0,5
840004,120,6,2013-01-05,6092,0,regular_day,1,d,basic,2290,12,2014,1,37,2009,1,2013,1,1,2013-00,2014-12-01,-24,2009-09-07,173,5
840005,121,6,2013-01-05,2225,0,regular_day,0,a,basic,3570,11,2009,1,36,2013,0,2013,1,1,2013-00,2009-11-01,38,2013-09-02,-35,5
840006,122,6,2013-01-05,5141,0,regular_day,0,a,extended,58260,4,2013,0,1,2013,0,2013,1,1,2013-00,2013-04-01,-3,2012-12-31,0,5
840007,123,6,2013-01-05,3626,0,regular_day,0,a,basic,16760,9,2011,0,1,2013,0,2013,1,1,2013-00,2011-09-01,16,2012-12-31,0,5
840008,124,6,2013-01-05,2348,0,regular_day,0,a,basic,1410,4,2003,0,1,2013,0,2013,1,1,2013-00,2003-04-01,118,2012-12-31,0,5
840009,125,6,2013-01-05,9469,0,regular_day,0,a,basic,760,12,2005,0,1,2013,0,2013,1,1,2013-00,2005-12-01,86,2012-12-31,0,5
840010,126,6,2013-01-05,4948,0,regular_day,0,d,basic,3370,10,2014,1,18,2011,0,2013,1,1,2013-00,2014-10-01,-22,2011-04-25,88,5
840011,127,6,2013-01-05,4886,0,regular_day,0,d,basic,1350,12,2005,1,13,2010,1,2013,1,1,2013-00,2005-12-01,86,2010-03-22,145,5
840012,128,6,2013-01-05,6180,0,regular_day,1,d,extended,2000,1,2013,1,1,2013,1,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840013,129,6,2013-01-05,7020,0,regular_day,0,a,basic,2460,1,2013,1,14,2011,1,2013,1,1,2013-00,2013-01-01,0,2011-03-28,92,5
840014,130,6,2013-01-05,3550,0,regular_day,1,c,basic,900,1,2013,1,13,2010,1,2013,1,1,2013-00,2013-01-01,0,2010-03-22,145,5
840015,131,6,2013-01-05,5101,0,regular_day,0,c,basic,920,7,2015,0,1,2013,0,2013,1,1,2013-00,2015-07-01,-31,2012-12-31,0,5
840016,132,6,2013-01-05,4713,0,regular_day,0,d,extended,1040,1,2013,1,27,2012,1,2013,1,1,2013-00,2013-01-01,0,2012-06-25,27,5
840017,133,6,2013-01-05,3603,0,regular_day,0,a,basic,270,8,2013,1,10,2014,0,2013,1,1,2013-00,2013-08-01,-7,2014-03-03,-61,5
840018,134,6,2013-01-05,3636,0,regular_day,0,a,basic,1200,9,2008,0,1,2013,0,2013,1,1,2013-00,2008-09-01,52,2012-12-31,0,5
840019,135,6,2013-01-05,6388,0,regular_day,1,d,basic,5190,1,2013,1,1,2013,1,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840020,136,6,2013-01-05,4085,0,regular_day,0,a,extended,2200,12,2010,1,22,2012,0,2013,1,1,2013-00,2010-12-01,25,2012-05-21,32,5
840021,137,6,2013-01-05,5054,0,regular_day,0,a,basic,1730,7,2015,1,40,2014,1,2013,1,1,2013-00,2015-07-01,-31,2014-09-29,-91,5
840022,138,6,2013-01-05,2578,0,regular_day,0,a,extended,25360,10,2014,0,1,2013,0,2013,1,1,2013-00,2014-10-01,-22,2012-12-31,0,5
840023,139,6,2013-01-05,3417,0,regular_day,0,a,basic,1700,1,2008,1,14,2011,1,2013,1,1,2013-00,2008-01-01,61,2011-03-28,92,5
840024,140,6,2013-01-05,6281,0,regular_day,1,a,extended,1090,7,2010,1,1,2013,1,2013,1,1,2013-00,2010-07-01,30,2012-12-31,0,5
840025,141,6,2013-01-05,4054,0,regular_day,0,c,extended,1540,1,2013,1,22,2012,0,2013,1,1,2013-00,2013-01-01,0,2012-05-21,32,5
840026,142,6,2013-01-05,3011,0,regular_day,0,a,basic,1090,7,2002,0,1,2013,0,2013,1,1,2013-00,2002-07-01,128,2012-12-31,0,5
840027,143,6,2013-01-05,4794,0,regular_day,0,d,basic,2930,12,2002,0,1,2013,0,2013,1,1,2013-00,2002-12-01,122,2012-12-31,0,5
840028,144,6,2013-01-05,5540,0,regular_day,0,a,extended,16570,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840029,145,6,2013-01-05,6201,0,regular_day,0,a,basic,280,1,2013,1,45,2009,0,2013,1,1,2013-00,2013-01-01,0,2009-11-02,165,5
840030,146,6,2013-01-05,5538,0,regular_day,0,d,extended,8050,10,1961,1,48,2012,1,2013,1,1,2013-00,1961-10-01,624,2012-11-19,6,5
840031,147,6,2013-01-05,7828,0,regular_day,0,d,extended,8540,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840032,148,6,2013-01-05,7750,0,regular_day,0,a,basic,2090,12,2008,0,1,2013,0,2013,1,1,2013-00,2008-12-01,49,2012-12-31,0,5
840033,149,6,2013-01-05,3573,0,regular_day,0,d,basic,2610,7,2006,1,14,2011,1,2013,1,1,2013-00,2006-07-01,79,2011-03-28,92,5
840034,150,6,2013-01-05,6993,0,regular_day,0,c,extended,31830,3,2010,0,1,2013,0,2013,1,1,2013-00,2010-03-01,34,2012-12-31,0,5
840035,151,6,2013-01-05,4290,0,regular_day,0,d,extended,4360,10,2005,0,1,2013,0,2013,1,1,2013-00,2005-10-01,88,2012-12-31,0,5
840036,152,6,2013-01-05,3130,0,regular_day,0,a,basic,1780,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840037,153,6,2013-01-05,3936,0,regular_day,0,a,basic,16240,10,2000,1,18,2011,0,2013,1,1,2013-00,2000-10-01,149,2011-04-25,88,5
840038,154,6,2013-01-05,5891,0,regular_day,1,d,extended,16420,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840039,155,6,2013-01-05,6140,0,regular_day,0,d,basic,3050,1,2013,1,35,2010,1,2013,1,1,2013-00,2013-01-01,0,2010-08-23,123,5
840040,156,6,2013-01-05,3342,0,regular_day,0,a,basic,2020,2,2011,1,14,2011,0,2013,1,1,2013-00,2011-02-01,23,2011-03-28,92,5
840041,157,6,2013-01-05,6745,0,regular_day,0,a,extended,2950,10,2004,0,1,2013,0,2013,1,1,2013-00,2004-10-01,100,2012-12-31,0,5
840042,158,6,2013-01-05,8518,0,regular_day,0,d,extended,11840,1,2013,1,31,2009,0,2013,1,1,2013-00,2013-01-01,0,2009-07-27,179,5
840043,159,6,2013-01-05,6163,0,regular_day,0,d,basic,8530,3,2013,0,1,2013,0,2013,1,1,2013-00,2013-03-01,-2,2012-12-31,0,5
840044,160,6,2013-01-05,4622,0,regular_day,1,d,extended,17110,11,2005,0,1,2013,0,2013,1,1,2013-00,2005-11-01,87,2012-12-31,0,5
840045,161,6,2013-01-05,6172,0,regular_day,0,a,extended,2970,3,2005,0,1,2013,0,2013,1,1,2013-00,2005-03-01,95,2012-12-31,0,5
840046,162,6,2013-01-05,6426,0,regular_day,1,d,extended,5340,3,2012,1,13,2010,1,2013,1,1,2013-00,2012-03-01,10,2010-03-22,145,5
840047,163,6,2013-01-05,8892,0,regular_day,0,a,basic,1480,4,2009,0,1,2013,0,2013,1,1,2013-00,2009-04-01,45,2012-12-31,0,5
840048,164,6,2013-01-05,3438,0,regular_day,0,a,basic,1160,9,2005,1,13,2010,1,2013,1,1,2013-00,2005-09-01,89,2010-03-22,145,5
840049,165,6,2013-01-05,1979,0,regular_day,0,a,basic,3720,4,2005,1,13,2010,1,2013,1,1,2013-00,2005-04-01,94,2010-03-22,145,5
840050,166,6,2013-01-05,5684,0,regular_day,0,a,extended,100,4,2014,1,31,2013,1,2013,1,1,2013-00,2014-04-01,-16,2013-07-29,-30,5
840051,167,6,2013-01-05,4185,0,regular_day,0,a,basic,140,4,2008,0,1,2013,0,2013,1,1,2013-00,2008-04-01,58,2012-12-31,0,5
840052,168,6,2013-01-05,4273,0,regular_day,0,a,basic,12540,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840053,169,6,2013-01-05,7771,0,regular_day,0,d,basic,980,7,2014,1,18,2014,0,2013,1,1,2013-00,2014-07-01,-19,2014-04-28,-69,5
840054,170,6,2013-01-05,4459,0,regular_day,0,a,basic,1070,5,2015,1,14,2011,1,2013,1,1,2013-00,2015-05-01,-29,2011-03-28,92,5
840055,171,6,2013-01-05,5426,0,regular_day,0,a,basic,2640,1,2013,0,1,2013,0,2013,1,1,2013-00,2013-01-01,0,2012-12-31,0,5
840056,172,6,2013-01-05,6019,0,regular_day,0,a,basic,110,1,2013,1,40,2014,1,2013,1,1,2013-00,2013-01-01,0,2014-09-29,-91,5
840057,173,6,2013-01-05,7361,0,regular_day,0,a,basic,350,12,2012,0,1,2013,0,2013,1,1,2013-00,2012-12-01,1,2012-12-31,0,5
